label,model,dataset,features,n_features,n_samples,mean_kappa,std_kappa,min_kappa,max_kappa,mean_high_recall,std_high_recall,combined_score,kappa_scores,high_recall_scores
XGB_shallow | OldUp | Top30,XGB_shallow,OldUp,Top30,30,3204,0.5824587977583982,0.027291474164268525,0.5374146029035013,0.6258124167187882,0.6563414634146341,0.07173499963418388,0.604623597455269,"[0.5374146029035013, 0.567056152767577, 0.5665435481949244, 0.58912, 0.5947050171596666, 0.5756025024448403, 0.6151923362743377, 0.5477001359591853, 0.6258124167187882, 0.6054412651611607]","[0.6829268292682927, 0.7804878048780488, 0.6, 0.7, 0.5, 0.675, 0.6, 0.65, 0.675, 0.7]"
XGB_lr01 | OldUp | Top30,XGB_lr01,OldUp,Top30,30,3204,0.610126213657247,0.02390430304657507,0.5677000565626095,0.6468409966055304,0.6365853658536585,0.04372508213660062,0.6180639593161704,"[0.5677000565626095, 0.5794740893804952, 0.6468409966055304, 0.6202153833743396, 0.6325660232926896, 0.6238752735821016, 0.6081206117672672, 0.5848760844301506, 0.6232872024420626, 0.614306415135223]","[0.6829268292682927, 0.6829268292682927, 0.625, 0.675, 0.55, 0.625, 0.575, 0.675, 0.65, 0.625]"
XGB_shallow | OldUp | Top50,XGB_shallow,OldUp,Top50,50,3204,0.579027364384622,0.03898230564482787,0.5197963421987004,0.6311614346735372,0.6364634146341464,0.06868614876034945,0.5962581794594792,"[0.5279411764705882, 0.5236815720874273, 0.5798204840519314, 0.6040756133529964, 0.5820351297296562, 0.6046783311624659, 0.5971464540495175, 0.5197963421987004, 0.6311614346735372, 0.6199371060693992]","[0.7317073170731707, 0.6829268292682927, 0.6, 0.675, 0.475, 0.65, 0.625, 0.575, 0.675, 0.675]"
XGB_shallow | OldUp | Top75,XGB_shallow,OldUp,Top75,75,3204,0.5719050693874699,0.031413687547292415,0.5118922275316542,0.6137047988497952,0.6189634146341463,0.07245865402920465,0.5860225729614728,"[0.542131573685263, 0.5362326595588137, 0.5650175364013179, 0.6044044365857579, 0.5746181601150268, 0.5894998379604623, 0.5801036213357142, 0.5118922275316542, 0.6137047988497952, 0.6014458418508941]","[0.7317073170731707, 0.6829268292682927, 0.6, 0.675, 0.525, 0.6, 0.575, 0.5, 0.7, 0.6]"
XGB_shallow | OldUp | All,XGB_shallow,OldUp,All,193,3204,0.5720466257286818,0.02900150958698495,0.5238481724968211,0.6330984589731867,0.6188414634146342,0.08079461571549135,0.5860850770344674,"[0.56043181727535, 0.556260904576567, 0.564867235467666, 0.6330984589731867, 0.5594929807823361, 0.5899925821026367, 0.549057600845517, 0.5238481724968211, 0.6001792674480192, 0.5832372373187177]","[0.7804878048780488, 0.6829268292682927, 0.6, 0.675, 0.525, 0.625, 0.525, 0.525, 0.675, 0.575]"
ExtraTrees_tuned | OldUp | Top30,ExtraTrees_tuned,OldUp,Top30,30,3204,0.6117893961242966,0.02795911737668482,0.5763175261619685,0.6603896810710788,0.6115853658536585,0.06603126456504894,0.6117281870431052,"[0.5763175261619685, 0.6292798913043478, 0.6001949476078303, 0.6382533842038804, 0.5865292096219932, 0.6603896810710788, 0.597693295799284, 0.5794661190965092, 0.6044933944903732, 0.6452765118857002]","[0.7073170731707317, 0.6585365853658537, 0.575, 0.625, 0.45, 0.65, 0.625, 0.6, 0.65, 0.575]"
XGB_default | OldUp | Top30,XGB_default,OldUp,Top30,30,3204,0.6170498534735718,0.02872995410577445,0.5666846652267818,0.6573828773798576,0.6017682926829268,0.05494200203078249,0.6124653852363782,"[0.5666846652267818, 0.5988263102127312, 0.6133838554706001, 0.6301442281624465, 0.6520925367793788, 0.6382703438883215, 0.6573828773798576, 0.5746296999620205, 0.6260037399626004, 0.6130802776909805]","[0.6341463414634146, 0.6585365853658537, 0.475, 0.675, 0.55, 0.6, 0.575, 0.625, 0.625, 0.6]"
XGB_lr01 | OldUp | Top50,XGB_lr01,OldUp,Top50,50,3204,0.6044620204130517,0.031892758866379975,0.5505896289914383,0.6431485611706468,0.596829268292683,0.04820838293910933,0.6021721947769411,"[0.5505896289914383, 0.5735375855758151, 0.6122147651006711, 0.6188522931199655, 0.5989264743947795, 0.6431485611706468, 0.6375249065152715, 0.5556094864431231, 0.6245566166439291, 0.6296598861748768]","[0.6829268292682927, 0.5853658536585366, 0.575, 0.65, 0.525, 0.55, 0.6, 0.55, 0.65, 0.6]"
XGB_lr01 | OldUp | Top75,XGB_lr01,OldUp,Top75,75,3204,0.5989364940854273,0.030722312291091403,0.5157068062827225,0.6239461062297591,0.5742073170731709,0.06947316512308128,0.5915177409817504,"[0.5896368829049368, 0.585817702744917, 0.5956203596987322, 0.622342727321902, 0.6100446367445299, 0.6159773077500034, 0.6231943588690354, 0.5157068062827225, 0.6239461062297591, 0.6070780523077344]","[0.6829268292682927, 0.6341463414634146, 0.55, 0.65, 0.525, 0.525, 0.55, 0.475, 0.65, 0.5]"
ExtraTrees_tuned | OldUp | Top50,ExtraTrees_tuned,OldUp,Top50,50,3204,0.6181727856838837,0.030668107651952915,0.5564947717978977,0.6687460840665778,0.5695121951219513,0.06394827066185978,0.603574608515304,"[0.5858739492374757, 0.630741420393854, 0.6161226320223956, 0.6420041889943693, 0.6293589619844738, 0.6687460840665778, 0.5905563810467227, 0.5564947717978977, 0.6255455058577348, 0.6362839614373357]","[0.6341463414634146, 0.5609756097560976, 0.5, 0.65, 0.5, 0.625, 0.575, 0.475, 0.65, 0.525]"
XGB_deep | OldUp | Top30,XGB_deep,OldUp,Top30,30,3204,0.6175623805032193,0.030284814036006344,0.5692023171693545,0.667095573137679,0.5693902439024389,0.0785946043834534,0.6031107395229852,"[0.5757901907356948, 0.6109090909090908, 0.589876721079744, 0.621318544231708, 0.6503941363573502, 0.667095573137679, 0.6429997934026582, 0.5692023171693545, 0.6248327609274356, 0.6232046770814792]","[0.5853658536585366, 0.6585365853658537, 0.375, 0.65, 0.5, 0.575, 0.575, 0.625, 0.6, 0.55]"
