fire,kappa,accuracy,n_samples,n_classes,recall_unburned,recall_low,recall_moderate,recall_high
alisal_2021,,1.0,1,1,1.0,0.0,0.0,0.0
apple_2020,0.4702505219206681,0.5977011494252874,87,4,0.7241379310344828,0.6153846153846154,0.25925925925925924,0.8888888888888888
atlas_2017,0.16129032258064524,0.5384615384615384,13,3,1.0,0.0,0.25,0.0
bald_2014,0.615686274509804,0.75,28,4,0.9166666666666666,0.3333333333333333,1.0,0.0
blueridge_2020,,1.0,2,1,0.0,1.0,0.0,0.0
bond_2020,0.09243697478991586,0.25,12,3,0.6,0.0,0.0,0.0
borel_2024,0.6,0.75,4,2,1.0,0.0,0.5,0.0
briceburg_2019,0.33333333333333337,0.5,2,2,1.0,0.0,0.0,0.0
caldor_2021,0.47537992741105917,0.6150943396226415,265,4,0.9746835443037974,0.33962264150943394,0.47368421052631576,0.5614035087719298
camp_2018,0.2857142857142857,0.5,10,4,0.3333333333333333,0.3333333333333333,1.0,0.0
canyonII_2017,0.5950920245398772,0.7272727272727273,22,4,1.0,0.6,0.625,0.0
carmel_2020,1.0,1.0,2,2,1.0,0.0,1.0,0.0
carr_2018,0.5267344233318604,0.6797385620915033,153,4,0.9310344827586207,0.14285714285714285,0.7192982456140351,0.35294117647058826
castle_2020,0.3464285714285714,0.5081967213114754,61,4,0.8695652173913043,0.3333333333333333,0.13636363636363635,0.7142857142857143
creek_2020,0.4153355526337875,0.5681818181818182,220,4,0.9142857142857143,0.2916666666666667,0.37254901960784315,0.5490196078431373
czulightningcomplex_2020,0.37722772277227734,0.5647058823529412,85,4,0.8148148148148148,0.32142857142857145,0.7083333333333334,0.0
day_2014,0.6296296296296297,0.7333333333333333,15,4,1.0,0.6,1.0,0.0
detwiler_2017,0.33333333333333337,0.5,2,2,1.0,0.0,0.0,0.0
dixie_2021,0.4227444878677622,0.597029702970297,1010,4,0.8791773778920309,0.3333333333333333,0.4342857142857143,0.6119402985074627
donnell_2018,0.4553314121037464,0.6111111111111112,54,4,1.0,0.25,0.17647058823529413,0.6923076923076923
eaton_2025,0.5,0.6666666666666666,9,3,1.0,0.3333333333333333,0.6666666666666666,0.0
eiler_2014,0.7354085603112841,0.8235294117647058,34,4,1.0,0.6666666666666666,0.9166666666666666,0.0
eldorado_2020,0.3444480414373584,0.5,90,4,0.7692307692307693,0.14285714285714285,0.23076923076923078,0.9411764705882353
emerald_2022,0.4999999999999999,0.6666666666666666,3,3,0.0,1.0,1.0,0.0
franklin_2024,0.78125,0.8571428571428571,7,3,0.5,1.0,1.0,0.0
french_2021,0.44999999999999996,0.6363636363636364,11,3,0.75,0.3333333333333333,0.75,0.0
getty_2019,0.11764705882352955,0.4,5,3,1.0,0.0,0.0,0.0
glass_2020,0.5968379446640315,0.7352941176470589,34,4,0.8461538461538461,0.5,0.9230769230769231,0.0
hennessey_2020,0.7931034482758621,0.875,72,3,1.0,0.8333333333333334,0.7575757575757576,0.0
hill_2018,-0.05263157894736836,0.2,10,3,1.0,0.125,0.0,0.0
kincade_2019,0.6024096385542168,0.7272727272727273,11,4,1.0,1.0,0.75,0.0
lake_2024,0.44351464435146437,0.631578947368421,19,3,0.375,0.3333333333333333,1.0,0.0
line_2024,0.43137254901960786,0.5862068965517241,116,4,1.0,0.14285714285714285,0.5517241379310345,0.425
loma_2016,0.375,0.5454545454545454,11,3,1.0,0.0,1.0,0.0
meyers_2020,0.2195121951219512,0.5,8,3,0.3333333333333333,0.0,1.0,0.0
mountain_2024,0.30555555555555547,0.5,20,3,0.75,1.0,0.0,0.0
nuns_2017,0.6074380165289256,0.7368421052631579,38,4,1.0,0.3333333333333333,0.9166666666666666,0.0
oak_2022,0.4981635414653006,0.6271186440677966,118,4,0.7931034482758621,0.6571428571428571,0.7586206896551724,0.24
palisades_2025,0.7272727272727273,0.8421052631578947,19,3,1.0,0.0,1.0,0.0
park_2024,0.676300578034682,0.8095238095238095,42,4,1.0,0.0,0.7894736842105263,0.0
rim_2013,0.31716582250605596,0.4968152866242038,157,4,0.7391304347826086,0.16666666666666666,0.5681818181818182,0.41935483870967744
river_2020,0.8181818181818181,0.9,10,2,0.8,0.0,1.0,0.0
rye_2017,0.55,0.7777777777777778,9,3,0.6666666666666666,1.0,0.0,0.0
scucomplex_2020,0.5454545454545454,0.6875,16,3,0.8,0.42857142857142855,1.0,0.0
silverado_2020,1.0,1.0,5,3,1.0,1.0,1.0,0.0
skirball_2017,0.040000000000000036,0.3333333333333333,6,4,1.0,0.0,0.0,0.0
sugar_2021,0.07179067865903532,0.3178294573643411,129,4,0.8181818181818182,0.06818181818181818,0.3333333333333333,0.0
tenaja_2019,1.0,1.0,5,3,1.0,1.0,1.0,0.0
tubbs_2017,0.37745974955277284,0.5862068965517241,29,4,1.0,0.25,0.5,0.0
valley_2020,0.16000000000000003,0.47619047619047616,21,3,0.0,0.18181818181818182,1.0,0.0
walbridge_2020,0.6773296244784424,0.7931034482758621,58,4,0.88,0.625,0.7916666666666666,0.0
woolsey_2018,0.19551681195516812,0.4411764705882353,34,4,1.0,0.2857142857142857,0.08333333333333333,0.0
